mean,lo,hi,p,t,se,n,clusters,level,horizon,mean_dn,mean_vol,mean_path_a
15.217286562762771,9.203097896126936,21.886759822647342,0.0001,4.460962245857966,3.411211690233901,603940,11573,0.95,1m,15.71191871200233,2.5876158608148834,12.959007241372143
13.251234904578963,5.697575331895838,21.540681548991266,0.0014,3.1098432035842585,4.261062065542795,603940,11573,0.95,5m,15.644207505026793,2.57551361001577,12.806255278218122
13.050604568391153,5.591612367546102,21.24666578419298,0.0016,3.113031519700022,4.19224941533799,603940,11573,0.95,30m,15.453796510779837,2.5526396095997472,12.543352593625977
13.079587344043935,5.358329747622272,21.393509103652402,0.0013,3.055037885331127,4.281317559708846,599439,11525,0.95,4h,15.388654561753661,2.469761464773931,12.594119811692053
12.970436043254102,5.820068673320188,20.574003087135527,0.0007,3.343960594437971,3.878764619663253,511237,11125,0.95,24h,15.954875392166953,1.8908974170301633,13.198260552414284
