wallet,loss,wallet_share,loss_share
W0f65d632046b,-1262712.2895937988,0.0007204610951008645,0.38963209363983076
W1f9f4a70385a,-909481.5117715122,0.001440922190201729,0.6702686158932474
W6572753155b9,-302452.6904055926,0.002161383285302594,0.7635957149964329
W45c984432270,-143033.6727378976,0.002881844380403458,0.8077312713136914
W181fab06dec5,-87215.50764008363,0.0036023054755043226,0.8346431507019867
W33b0442639d3,-67846.94382029041,0.004322766570605188,0.8555785189451101
W3d8fda3d9e8d,-52805.78195201332,0.005043227665706052,0.8718726720533134
W6d9d10b2061b,-41969.31143633908,0.005763688760806916,0.8848230415225322
Wa473137b8332,-38112.605529045744,0.006484149855907781,0.8965833565275665
W7221876334a5,-28482.251478657272,0.007204610951008645,0.9053720563498951
W431c3a21f17b,-22165.18564364328,0.00792507204610951,0.9122115143637444
W9e0f67e39208,-15239.07730474409,0.008645533141210375,0.9169137997887931
Wcfcf908218f9,-14257.900527060208,0.009365994236311239,0.9213133258558546
W950f272be2cf,-13866.670861226934,0.010086455331412104,0.9255921311260656
W8ff6e7bdb124,-13587.895305881097,0.010806916426512969,0.9297849152937817
Wa89746f66988,-12630.161098240884,0.011527377521613832,0.933682173720956
Wf30f5e5f7454,-11545.986134408651,0.012247838616714697,0.9372448908876141
Wbf7cd8c97dcd,-10184.419058867743,0.012968299711815562,0.9403874725771363
W44196ad58aba,-7439.689672561554,0.013688760806916427,0.9426831197226021
Wc40ebaabddd8,-7323.9096540458995,0.01440922190201729,0.9449430409062732
W4c06b69603bd,-7271.3563248538585,0.015129682997118156,0.947186745835577
Wd2fbac8b4770,-7119.410466341995,0.01585014409221902,0.9493835651968382
W2bff38dbd5e3,-5943.662324029432,0.016570605187319884,0.9512175867821866
W2a941e7c0397,-5753.4454442524,0.01729106628242075,0.9529929136025248
Wc336dae16a42,-4665.890939167735,0.018011527377521614,0.9544326563454325
Wccd6cb8acc54,-4497.365285899427,0.018731988472622477,0.9558203975329138
Wd4e6a0f83eb9,-4152.063144611654,0.019452449567723344,0.9571015896693111
Wc08673e77114,-4102.686742945603,0.020172910662824207,0.9583675458482255
Wa2f320c0f0a7,-3486.058338717102,0.02089337175792507,0.9594432304837982
W344c4db51f60,-3106.480169454824,0.021613832853025938,0.9604017895967888
W0d28e971c5c3,-2930.751728025516,0.0223342939481268,0.961306124607337
Wff324de716a6,-2877.5619230909974,0.023054755043227664,0.962194046967729
Wc4808cdefb7a,-2646.199263798406,0.02377521613832853,0.9630105783089055
Wf6fc16b49bee,-2580.4010543815193,0.024495677233429394,0.9638068064548853
W59579444a496,-2337.396017297875,0.02521613832853026,0.964528051121141
W1f21288decaf,-2044.767930819363,0.025936599423631124,0.9651590002426935
W365ec9e81c92,-1996.8764044087493,0.026657060518731988,0.9657751715911486
Wbbbd98fd2bb2,-1979.655197101215,0.027377521613832854,0.9663860290330918
W74aafe450e0e,-1682.5142095094252,0.028097982708933718,0.9669051983952913
W887565ece756,-1682.4809317523368,0.02881844380403458,0.9674243574890533
Wd7780198d7e0,-1616.258345731948,0.029538904899135448,0.9679230824387511
W1d25e3f3a382,-1515.2331482157833,0.03025936599423631,0.9683906342862759
W59794f010c1c,-1468.5425290032672,0.030979827089337175,0.9688437789217484
Wae5a47b068d9,-1358.4031899727836,0.03170028818443804,0.9692629381263258
W671514d5f62a,-1356.410483299458,0.032420749279538905,0.9696814824461985
