group,fills,correlation,sign_agreement,median_gap,median_lag_a_s
all,540531,0.39008101778291776,0.6906264395566581,0.022113788767780473,15026.296
lag_a <= 300 s,26885,0.89635860704289,0.9125162730146922,-0.004747019702064065,117.561
lag_a <= 3600 s,135971,0.938713728484299,0.8350604172948644,0.007222359350521401,1144.828
svi_age <= 60 s,501384,0.3965419999878782,0.6884284301054681,0.022701343531046025,15047.3215
svi_age > 60 s,39147,0.23967991460095592,0.7187779395611413,0.01654337465895983,14726.92
