currency,delta_bucket,tenor_bucket,fills,mean,lo,hi,p,positive,negative
BTC,00-10,2-7d,7043,8.440743850552204,4.51773706039307,12.415824360670474,0.007,True,False
BTC,00-10,30-90d,3225,12.665438955713306,3.5266146266094007,24.359779845401317,0.092,True,False
BTC,00-10,7-30d,6995,7.242428212123557,-0.4044214987466365,15.836335355698184,0.232,False,False
BTC,00-10,<=2d,10967,9.912841429431396,4.248381609734889,16.74094045059763,0.001,True,False
BTC,00-10,>90d,876,66.34073685015747,41.18910344356866,98.3297739932683,0.001,True,False
BTC,10-25,2-7d,9218,10.337002316293688,1.3739590183279693,20.668970881000472,0.098,True,False
BTC,10-25,30-90d,5737,23.267364894541537,7.478417071222759,41.47620556516428,0.0565,True,False
BTC,10-25,7-30d,10733,13.062980065845666,3.0759682919539393,24.523569963417145,0.0915,True,False
BTC,10-25,<=2d,11520,7.331592047083794,1.7875685298030475,13.276408347287338,0.053,True,False
BTC,10-25,>90d,1529,204.3999874783113,117.79224530049811,314.0442904071254,0.0005,True,False
BTC,25-40,2-7d,6588,21.099891071333175,4.030415883480151,41.72424469601141,0.1305,True,False
BTC,25-40,30-90d,5303,35.30720154436751,-1.0175781605389442,82.83920417035829,0.3335,False,False
BTC,25-40,7-30d,9767,32.72542286256123,9.769659242843067,60.285880911042305,0.066,True,False
BTC,25-40,<=2d,8251,18.510999905823212,6.792304249505975,32.106122180092804,0.0385,True,False
BTC,25-40,>90d,1607,305.65193785071943,124.50294054797295,514.0236687304595,0.0015,True,False
BTC,40-60,2-7d,8048,23.21956854916912,-3.8883937178588974,57.34904570398903,0.405,False,False
BTC,40-60,30-90d,6295,56.17691722265491,3.702267013991087,125.5193401385813,0.299,True,False
BTC,40-60,7-30d,10999,41.85920366172178,8.026637972956074,83.9545386768714,0.149,True,False
BTC,40-60,<=2d,8902,23.954511294038355,7.2446896160230265,44.82803589807593,0.0855,True,False
BTC,40-60,>90d,1795,198.14586933750886,108.60074090218274,321.98503394111754,0.0005,True,False
BTC,60-75,2-7d,2430,40.65229204436412,5.8973061613530176,109.40772137213246,0.277,True,False
BTC,60-75,30-90d,1631,60.799094897495934,-16.659264439965252,182.53054403681898,0.4815,False,False
BTC,60-75,7-30d,3304,17.464397067225814,-25.626161012202115,87.60603255941867,0.624,False,False
BTC,60-75,<=2d,2551,32.13641537295685,0.3233612284998569,89.36508369759585,0.348,True,False
BTC,60-75,>90d,464,302.4464088977207,77.41157396094552,585.3052876375626,0.054,True,False
BTC,75-90,2-7d,1447,74.35699424960083,-2.8958604031189634,214.3114011787585,0.3865,False,False
BTC,75-90,30-90d,621,137.02066965715207,38.168095683547755,271.6827048379168,0.0605,True,False
BTC,75-90,7-30d,1741,86.53042000793586,-15.067165935740306,219.19718148939813,0.383,False,False
BTC,75-90,<=2d,1761,54.530016070179386,-5.4115623632200665,154.9484693171403,0.354,False,False
BTC,90-100,2-7d,645,121.28129039276682,16.23411730001781,269.84568873928276,0.1855,True,False
