section,item,variant,value,lo,hi,level,n,b,seed,p1_reference,p1_source,matches_p1
classes,mm_programme mean_hs,p1,-5.1740277432226325,,,,42976.0,0,,-5.1740277432226325,results/p1/class_means.csv,True
classes,mm_programme mean_as,p1,-15.495850301207913,,,,42976.0,0,,-15.495850301207913,results/p1/class_means.csv,True
classes,mm_programme mean_fee,p1,1.131324194296081,,,,42976.0,0,,1.131324194296081,results/p1/class_means.csv,True
classes,mm_programme mean_rebate,p1,1.5863257608367525,,,,42976.0,0,,1.5863257608367525,results/p1/class_means.csv,True
classes,mm_programme mean_hedge,p1,4.935400218311306,,,,42976.0,0,,4.935400218311306,results/p1/class_means.csv,True
classes,mm_programme mean_ne,p1,-25.150276696201175,-29.00151581454612,-3.2797585436021737,0.95,42976.0,999,20260917.0,-25.150276696201175,results/p1/class_means.csv,True
classes,mm_programme fill_edge_sum,p1,-3795660.498191245,,,,42976.0,0,,,,
classes,other mean_markout,p1,24.731948751492116,,,,329432.0,0,,24.731948751492116,results/p1/class_means.csv,True
classes,other mean_hs,p1,25.603771503935235,,,,329432.0,0,,25.603771503935235,results/p1/class_means.csv,True
classes,other mean_as,p1,-0.8718227524430988,,,,329432.0,0,,-0.8718227524430988,results/p1/class_means.csv,True
classes,other mean_fee,p1,1.2434983526410002,,,,329432.0,0,,1.2434983526410002,results/p1/class_means.csv,True
classes,other mean_rebate,p1,0.5692688025942637,,,,329432.0,0,,0.5692688025942637,results/p1/class_means.csv,True
classes,other mean_hedge,p1,2.872183000622791,,,,329432.0,0,,2.872183000622791,results/p1/class_means.csv,True
classes,other mean_ne,p1,21.185536200822593,18.613367581243164,24.397596531180465,0.95,329432.0,999,20260917.0,21.185536200822593,results/p1/class_means.csv,True
classes,other fill_edge_sum,p1,-4025962.36159512,,,,329432.0,0,,,,
classes,rfq mean_markout,p1,15.208820333361222,,,,121064.0,0,,15.208820333361222,results/p1/class_means.csv,True
classes,rfq mean_hs,p1,15.380194630423237,,,,121064.0,0,,15.380194630423237,results/p1/class_means.csv,True
classes,rfq mean_as,p1,-0.1713742970620077,,,,121064.0,0,,-0.1713742970620077,results/p1/class_means.csv,True
classes,rfq mean_fee,p1,0.910310410927818,,,,121064.0,0,,0.910310410927818,results/p1/class_means.csv,True
classes,rfq mean_rebate,p1,0.0,,,,121064.0,0,,0.0,results/p1/class_means.csv,True
classes,rfq mean_hedge,p1,3.1115219484876424,,,,121064.0,0,,3.1115219484876424,results/p1/class_means.csv,True
classes,rfq mean_ne,p1,11.186987973945762,8.233566428932066,14.732464167789374,0.95,121064.0,999,20260917.0,11.186987973945762,results/p1/class_means.csv,True
classes,rfq fill_edge_sum,p1,-2658071485.684892,,,,121064.0,0,,,,
classes,vault mean_markout,p1,4.219748619768521,,,,1994.0,0,,4.219748619768521,results/p1/class_means.csv,True
classes,vault mean_hs,p1,4.320229183988184,,,,1994.0,0,,4.320229183988184,results/p1/class_means.csv,True
classes,vault mean_as,p1,-0.1004805642196642,,,,1994.0,0,,-0.1004805642196642,results/p1/class_means.csv,True
classes,vault mean_fee,p1,34.21381339041514,,,,1994.0,0,,34.21381339041514,results/p1/class_means.csv,True
classes,vault mean_rebate,p1,2.442100084448373,,,,1994.0,0,,2.442100084448373,results/p1/class_means.csv,True
classes,vault mean_hedge,p1,1.0243198690310191,,,,1994.0,0,,1.0243198690310191,results/p1/class_means.csv,True
classes,vault mean_ne,p1,-28.576284555229268,-66.96481585974965,-5.316249124461143,0.95,1994.0,999,20260917.0,-28.576284555229268,results/p1/class_means.csv,True
classes,vault fill_edge_sum,p1,-57420436.84727838,,,,1994.0,0,,,,
classes,dominant_maker mean_markout,per_contract,-25.414134724330296,,,,56274.0,0,,,,
classes,dominant_maker mean_hs,per_contract,-16.60421421778671,,,,56274.0,0,,,,
classes,dominant_maker mean_as,per_contract,-8.809920506543587,,,,56274.0,0,,,,
classes,dominant_maker mean_fee,per_contract,2.7518862704736664,,,,56274.0,0,,,,
classes,dominant_maker mean_rebate,per_contract,0.1091234873425202,,,,56274.0,0,,,,
classes,dominant_maker mean_hedge,per_contract,3.9276936794733537,,,,56274.0,0,,,,
classes,dominant_maker mean_ne,per_contract,-31.98459118693479,-35.67220996621831,-27.62858789282406,0.95,56274.0,999,20260917.0,,,
classes,dominant_maker fill_edge_sum,per_contract,-627033.4836886828,,,,56274.0,0,,,,
classes,large mean_markout,per_contract,3.890721736803673,,,,52200.0,0,,,,
classes,large mean_hs,per_contract,6.399207048302854,,,,52200.0,0,,,,
classes,large mean_as,per_contract,-2.508485311499181,,,,52200.0,0,,,,
classes,large mean_fee,per_contract,1.3538502263942307,,,,52200.0,0,,,,
classes,large mean_rebate,per_contract,1.0166859203933842,,,,52200.0,0,,,,
classes,large mean_hedge,per_contract,2.759151819978383,,,,52200.0,0,,,,
classes,large mean_ne,per_contract,0.7944056108244427,-12.213364186553342,16.186444374247593,0.95,52200.0,999,20260917.0,,,
classes,large fill_edge_sum,per_contract,606048.7574192093,,,,52200.0,0,,,,
classes,mm_programme mean_markout,per_contract,-20.669878044430543,,,,42976.0,0,,,,
classes,mm_programme mean_hs,per_contract,-5.1740277432226325,,,,42976.0,0,,,,
classes,mm_programme mean_as,per_contract,-15.495850301207913,,,,42976.0,0,,,,
classes,mm_programme mean_fee,per_contract,1.8202253750251056,,,,42976.0,0,,,,
classes,mm_programme mean_rebate,per_contract,0.6649836159543084,,,,42976.0,0,,,,
classes,mm_programme mean_hedge,per_contract,4.935400218311306,,,,42976.0,0,,,,
classes,mm_programme mean_ne,per_contract,-26.760520021812653,-30.35152152906252,-3.3146998752060446,0.95,42976.0,999,20260917.0,,,
classes,mm_programme fill_edge_sum,per_contract,-1834046.5159336375,,,,42976.0,0,,,,
classes,other mean_markout,per_contract,24.731948751492116,,,,329432.0,0,,,,
classes,other mean_hs,per_contract,25.603771503935235,,,,329432.0,0,,,,
classes,other mean_as,per_contract,-0.8718227524430988,,,,329432.0,0,,,,
classes,other mean_fee,per_contract,0.9619323669052148,,,,329432.0,0,,,,
classes,other mean_rebate,per_contract,1.1440004919699764,,,,329432.0,0,,,,
classes,other mean_hedge,per_contract,2.872183000622791,,,,329432.0,0,,,,
classes,other mean_ne,per_contract,22.041833875934092,19.50021174042632,25.203704000974692,0.95,329432.0,999,20260917.0,,,
classes,other fill_edge_sum,per_contract,3673653.9272939977,,,,329432.0,0,,,,
classes,rfq mean_markout,per_contract,15.208820333361222,,,,121064.0,0,,,,
classes,rfq mean_hs,per_contract,15.380194630423237,,,,121064.0,0,,,,
classes,rfq mean_as,per_contract,-0.1713742970620077,,,,121064.0,0,,,,
classes,rfq mean_fee,per_contract,0.297909831788874,,,,121064.0,0,,,,
classes,rfq mean_rebate,per_contract,0.0,,,,121064.0,0,,,,
classes,rfq mean_hedge,per_contract,3.1115219484876424,,,,121064.0,0,,,,
classes,rfq mean_ne,per_contract,11.799388553084707,8.921661326095492,15.144696349621046,0.95,121064.0,999,20260917.0,,,
classes,rfq fill_edge_sum,per_contract,5484992.668538431,,,,121064.0,0,,,,
classes,vault mean_markout,per_contract,4.219748619768521,,,,1994.0,0,,,,
classes,vault mean_hs,per_contract,4.320229183988184,,,,1994.0,0,,,,
classes,vault mean_as,per_contract,-0.1004805642196642,,,,1994.0,0,,,,
classes,vault mean_fee,per_contract,1.1297028417035524,,,,1994.0,0,,,,
classes,vault mean_rebate,per_contract,0.0218303981962971,,,,1994.0,0,,,,
classes,vault mean_hedge,per_contract,1.0243198690310191,,,,1994.0,0,,,,
classes,vault mean_ne,per_contract,2.087556307230245,1.0515188206177368,3.485908166816493,0.95,1994.0,999,20260917.0,,,
classes,vault fill_edge_sum,per_contract,179967.35040952184,,,,1994.0,0,,,,
h4,"share of cells positive, perp half spread 1 bp",p1,0.4948453608247423,,,0.9,97.0,9999,20260917.0,0.4948453608247423,results/p1/h4_sensitivity.csv,True
h4,"cells positive / negative, 1 bp",p1,48.0,,3.0,,97.0,0,,,,
h4,"rejected, 1 bp",p1,1.0,,,,97.0,0,,,,
h4,BTC 40-60 <=2d mean net edge,p1,23.954511294038355,7.244689616023027,44.82803589807593,0.9,8902.0,9999,20260917.0,23.954511294038355,results/p1/h4_cells.csv,True
h4,ETH 40-60 <=2d mean net edge,p1,0.3614924014156243,-0.4107779705994462,1.3376347234330104,0.9,23718.0,9999,20260917.0,0.3614924014156243,results/p1/h4_cells.csv,True
h4,"share of cells positive, perp half spread 1 bp",per_contract,0.7628865979381443,,,0.9,97.0,9999,20260917.0,,,
h4,"cells positive / negative, 1 bp",per_contract,74.0,,0.0,,97.0,0,,,,
h4,"rejected, 1 bp",per_contract,1.0,,,,97.0,0,,,,
h4,BTC 40-60 <=2d mean net edge,per_contract,24.19332885998207,6.429064983417091,46.36740226791829,0.9,8902.0,9999,20260917.0,,,
h4,ETH 40-60 <=2d mean net edge,per_contract,1.05325629360007,0.1992115053081409,2.098044726273645,0.9,23718.0,9999,20260917.0,,,
h4,"share of cells positive, perp half spread 0 bp",p1,0.5773195876288659,,,0.9,97.0,9999,20260917.0,0.5773195876288659,results/p1/h4_sensitivity.csv,True
h4,"cells positive / negative, 0 bp",p1,56.0,,3.0,,97.0,0,,,,
h4,"rejected, 0 bp",p1,1.0,,,,97.0,0,,,,
h4,"share of cells positive, perp half spread 0 bp",per_contract,0.7835051546391752,,,0.9,97.0,9999,20260917.0,,,
h4,"cells positive / negative, 0 bp",per_contract,76.0,,0.0,,97.0,0,,,,
h4,"rejected, 0 bp",per_contract,1.0,,,,97.0,0,,,,
h4,"share of cells positive, perp half spread 3 bp",p1,0.38144329896907214,,,0.9,97.0,9999,20260917.0,0.3814432989690721,results/p1/h4_sensitivity.csv,True
h4,"cells positive / negative, 3 bp",p1,37.0,,4.0,,97.0,0,,,,
h4,"rejected, 3 bp",p1,0.0,,,,97.0,0,,,,
h4,"share of cells positive, perp half spread 3 bp",per_contract,0.5876288659793815,,,0.9,97.0,9999,20260917.0,,,
h4,"cells positive / negative, 3 bp",per_contract,57.0,,0.0,,97.0,0,,,,
h4,"rejected, 3 bp",per_contract,1.0,,,,97.0,0,,,,
f5_bp_map,BTC 00-10 <=2d,p1|notional,1.8424671648014397,,,,10967.0,0,,,,
f5_bp_map,BTC 10-25 <=2d,p1|notional,1.959155383662798,,,,11520.0,0,,,,
f5_bp_map,BTC 25-40 <=2d,p1|notional,7.161741040711546,,,,8251.0,0,,,,
f5_bp_map,BTC 40-60 <=2d,p1|notional,8.983827552543886,,,,8902.0,0,,,,
f5_bp_map,BTC 60-75 <=2d,p1|notional,6.251031314019377,,,,2551.0,0,,,,
f5_bp_map,BTC 75-90 <=2d,p1|notional,10.20254911601114,,,,1761.0,0,,,,
f5_bp_map,BTC 90-100 <=2d,p1|notional,73.78138468065981,,,,1580.0,0,,,,
f5_bp_map,BTC 00-10 2-7d,p1|notional,1.4558476350585037,,,,7043.0,0,,,,
f5_bp_map,BTC 10-25 2-7d,p1|notional,1.928518651364595,,,,9218.0,0,,,,
f5_bp_map,BTC 25-40 2-7d,p1|notional,5.1512906516732135,,,,6588.0,0,,,,
f5_bp_map,BTC 40-60 2-7d,p1|notional,9.722543264657332,,,,8048.0,0,,,,
f5_bp_map,BTC 60-75 2-7d,p1|notional,8.397671339699071,,,,2430.0,0,,,,
f5_bp_map,BTC 75-90 2-7d,p1|notional,28.54156006457772,,,,1447.0,0,,,,
f5_bp_map,BTC 90-100 2-7d,p1|notional,68.91425265778575,,,,645.0,0,,,,
f5_bp_map,BTC 00-10 7-30d,p1|notional,1.1594397897806703,,,,6995.0,0,,,,
f5_bp_map,BTC 10-25 7-30d,p1|notional,3.346611011413736,,,,10733.0,0,,,,
f5_bp_map,BTC 25-40 7-30d,p1|notional,6.739797174205828,,,,9767.0,0,,,,
f5_bp_map,BTC 40-60 7-30d,p1|notional,13.929474935156367,,,,10999.0,0,,,,
f5_bp_map,BTC 60-75 7-30d,p1|notional,2.5621599892381175,,,,3304.0,0,,,,
f5_bp_map,BTC 75-90 7-30d,p1|notional,42.372379967655114,,,,1741.0,0,,,,
f5_bp_map,BTC 90-100 7-30d,p1|notional,23.598747373834584,,,,600.0,0,,,,
f5_bp_map,BTC 00-10 30-90d,p1|notional,2.15460077999416,,,,3225.0,0,,,,
f5_bp_map,BTC 10-25 30-90d,p1|notional,4.796718799893957,,,,5737.0,0,,,,
f5_bp_map,BTC 25-40 30-90d,p1|notional,11.567142095898191,,,,5303.0,0,,,,
f5_bp_map,BTC 40-60 30-90d,p1|notional,28.45967796936723,,,,6295.0,0,,,,
f5_bp_map,BTC 60-75 30-90d,p1|notional,36.31751389541223,,,,1631.0,0,,,,
f5_bp_map,BTC 75-90 30-90d,p1|notional,63.980414245644624,,,,621.0,0,,,,
f5_bp_map,BTC 90-100 30-90d,p1|notional,,,,,183.0,0,,,,
f5_bp_map,BTC 00-10 >90d,p1|notional,14.980932344247078,,,,876.0,0,,,,
f5_bp_map,BTC 10-25 >90d,p1|notional,20.233430632515283,,,,1529.0,0,,,,
f5_bp_map,BTC 25-40 >90d,p1|notional,67.59417349607547,,,,1607.0,0,,,,
f5_bp_map,BTC 40-60 >90d,p1|notional,78.49958810396376,,,,1795.0,0,,,,
f5_bp_map,BTC 60-75 >90d,p1|notional,46.978958541625765,,,,464.0,0,,,,
f5_bp_map,BTC 75-90 >90d,p1|notional,,,,,167.0,0,,,,
f5_bp_map,BTC 90-100 >90d,p1|notional,,,,,153.0,0,,,,
f5_bp_map,ETH 00-10 <=2d,p1|notional,0.3976880710623601,,,,27314.0,0,,,,
f5_bp_map,ETH 10-25 <=2d,p1|notional,0.3774935999765332,,,,30094.0,0,,,,
f5_bp_map,ETH 25-40 <=2d,p1|notional,0.6405963303056782,,,,22647.0,0,,,,
f5_bp_map,ETH 40-60 <=2d,p1|notional,0.9090635361957452,,,,23718.0,0,,,,
f5_bp_map,ETH 60-75 <=2d,p1|notional,1.3173823829102749,,,,6626.0,0,,,,
f5_bp_map,ETH 75-90 <=2d,p1|notional,2.8011552785131704,,,,4518.0,0,,,,
f5_bp_map,ETH 90-100 <=2d,p1|notional,4.832058423788779,,,,4077.0,0,,,,
f5_bp_map,ETH 00-10 2-7d,p1|notional,0.6613570121645261,,,,21704.0,0,,,,
f5_bp_map,ETH 10-25 2-7d,p1|notional,0.2861664525215771,,,,23054.0,0,,,,
f5_bp_map,ETH 25-40 2-7d,p1|notional,0.6182279061386897,,,,17030.0,0,,,,
f5_bp_map,ETH 40-60 2-7d,p1|notional,1.1295003574567437,,,,21434.0,0,,,,
f5_bp_map,ETH 60-75 2-7d,p1|notional,1.2740052129094153,,,,6345.0,0,,,,
f5_bp_map,ETH 75-90 2-7d,p1|notional,7.54875392742974,,,,3851.0,0,,,,
f5_bp_map,ETH 90-100 2-7d,p1|notional,11.523354275401612,,,,1790.0,0,,,,
f5_bp_map,ETH 00-10 7-30d,p1|notional,0.5145007584904508,,,,19018.0,0,,,,
f5_bp_map,ETH 10-25 7-30d,p1|notional,0.5501763769287737,,,,26979.0,0,,,,
f5_bp_map,ETH 25-40 7-30d,p1|notional,1.053606584984084,,,,24042.0,0,,,,
f5_bp_map,ETH 40-60 7-30d,p1|notional,1.721853908274921,,,,28868.0,0,,,,
