currency,delta_bucket,tenor_bucket,fills,mean,lo,hi,p,positive,negative,fee_unit
BTC,00-10,2-7d,7043,8.84949743973762,4.7838988121091415,12.998178883119609,0.0031,True,False,per_contract
BTC,00-10,30-90d,3225,14.351050563020728,5.804646725455541,24.98529637620444,0.0205,True,False,per_contract
BTC,00-10,7-30d,6995,8.884720579957584,1.0507237523329005,17.396865670690726,0.116,True,False,per_contract
BTC,00-10,<=2d,10967,10.438725372841006,4.744572297537365,17.11635255807237,0.0005,True,False,per_contract
BTC,00-10,>90d,876,67.13263619614567,41.68064882368291,99.28157099172444,0.0003,True,False,per_contract
BTC,10-25,2-7d,9218,13.0830991935445,4.128159731014608,23.45593230617839,0.0323,True,False,per_contract
BTC,10-25,30-90d,5737,24.542695637855676,8.190757555590483,43.472426476120994,0.0481,True,False,per_contract
BTC,10-25,7-30d,10733,12.683035563837947,1.9560904433561823,24.98877116893589,0.1368,True,False,per_contract
BTC,10-25,<=2d,11520,8.395512348699562,2.2784731889131757,14.84441271503234,0.0479,True,False,per_contract
BTC,10-25,>90d,1529,204.20711452122896,117.52231893593172,313.83000532097475,0.0001,True,False,per_contract
BTC,25-40,2-7d,6588,20.514959305908818,2.440365455039377,42.42125568120654,0.1851,True,False,per_contract
BTC,25-40,30-90d,5303,34.051822701680614,-3.7599243738411663,83.36788442401465,0.3841,False,False,per_contract
BTC,25-40,7-30d,9767,31.822218799425308,7.765449231818177,60.49924884044143,0.1004,True,False,per_contract
BTC,25-40,<=2d,8251,18.92989436688547,6.2840923507344435,33.64814858333927,0.054,True,False,per_contract
BTC,25-40,>90d,1607,305.76451382734695,123.95403063170674,514.74281241806,0.0007,True,False,per_contract
BTC,40-60,2-7d,8048,21.78172768322993,-6.796258576013036,57.8172344354987,0.4686,False,False,per_contract
BTC,40-60,30-90d,6295,54.4911862761907,0.1913228898589522,126.17757458269074,0.3253,True,False,per_contract
BTC,40-60,7-30d,10999,39.93801132943135,4.772767861254071,83.66255145048393,0.2017,True,False,per_contract
BTC,40-60,<=2d,8902,24.19332885998207,6.429064983417091,46.36740226791829,0.1039,True,False,per_contract
BTC,40-60,>90d,1795,199.36256167247984,108.93500675603012,324.635651846078,0.0001,True,False,per_contract
BTC,60-75,2-7d,2430,38.27547867565661,2.3946997486422648,109.2850692075536,0.3301,True,False,per_contract
BTC,60-75,30-90d,1631,58.47242384150328,-20.845308513596315,182.33249793713523,0.5045,False,False,per_contract
BTC,60-75,7-30d,3304,15.337797190666944,-28.853157278058347,87.08811942565939,0.6541,False,False,per_contract
BTC,60-75,<=2d,2551,31.098557541139,-1.6644757130716703,90.03585661561279,0.3876,False,False,per_contract
BTC,60-75,>90d,464,300.51422828267147,75.24578515248145,583.8529495733168,0.0537,True,False,per_contract
BTC,75-90,2-7d,1447,71.91796999666204,-6.1405689337541,213.41827316820587,0.3985,False,False,per_contract
